y|x;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
25;1|3;1|3;1|3;1|3;1|2|3;1|2|3;1;1;1;1;1;1;1;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|2|3;1|2|3;1;1;1;1;1|2|3;1|3;1|2|3;1|2|3|4;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
26;1|3;1|3;1|3;1|3;1|2|3;1;1;1;1;1;1;1;1;1|2|3|4;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1|2|3;1;1;1;1;1|3;1|2|3;1|2|3;1|2|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1|3;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4
27;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1;1;1;1;1;1;1;1;1|2|3|4;1|2|3;1|2;1|2;1|3|4;1|2|3|4;1|2|3;1|3|4;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1;1;0;1;1;1|3;1|2|3;1|3;1|3;1|2|3|4;1|2|3|4;1|3;1|3;1|3;1|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
28;1|2|3;1;1;1;1;1;1;1;1;1;1;1;1;1|2|3;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1;0;0;0;1;1|3;1|2|3;1|3;1|3;1|2|3|4;1|2|3|4;1|3;1|3;1|3;1|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
29;1|2|3;1;1;1;1;1;1;1;1;1;1;1;1;1|2|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1;0;0;0;1;1|3;1|2|3;1|3;1|3;1|3;1|2|3|4;1|3;1|3;1|3;1|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
30;1|2|3;1;1;1;1;1;1;1;1;1;1;1;1;1|2|3|4;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1;0;0;0;1;1|3;1|2|3;1|3;1|3;1|2|3|4;1|2|3|4;1|3;1|3;1|3;1|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
31;1|2|3;1;1;1;1;1;1;1;1;1;1;1;1;1|3|4;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1;1;0;1;1;1|2|3;1|3;1|3;1|3;1|2;1|2|3|4;1|3;1|3;1|3;1|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
32;1;1;1;1;1;1;1;1|2|3|4;1|2|3|4;1|2|3|4;1;1;1|3|4;1|2|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|3;1|3;1;1;1|2|3;1;1;1|2|3;1|3;1|3;1|2|3|4;1|2;1|2|3|4;1|2|3|4;1|2|3|4;1|3;1|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
33;1;1;1;1;1;1;1;1|2|3|4;1|2|3;1|2|3;1;1|3|4;1|2|3;1|2|3|4;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1;1;1;1|3|4;1|2|3;1|2|3|4;1|2|3|4;1|3;1|3;1;1;1|2|3;1|2|3;1|2|3;1|3;1|3;1|2|3|4;1|2|3|4;1|2;1|2|3;1|2|3;1|2|3|4;1|3;1|2|3|4;1|3|4;1|2;1|3|4;1|2|3;1|3|4
34;1|2|3|4;1|2|3|4;1;1;1;1;1;1|2|3|4;1|2|3;1|2|3;1|3|4;1|2|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1;1;1;1|3|4;1|2|3;1|2|3|4;1|2|3|4;1|3;1|3;1;1|2|3;1;1;1;1|3;1|3;1|2|3|4;1|2;1|2;1|2|3;1|2|3;1|2|3;1|2|3|4;1|2|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
35;1|2|3|4;1|2|3|4;1;1;1;1;1;1|2|3|4;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3|4;1|2|3;1|3|4;1|2|3|4;1|2|3;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1;1|3|4;1|2|3;1;1|2|3|4;1|3;1|3;1|2|3;1|3;1|3;1|3;1|3;1|3;1|2|3|4;1|2;1|2;1|2;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
36;1|2|3;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3|4;1|3|4;1|2|3|4;1|2|3;1|3|4;1|2;1|2;1|2;1|2;1|3|4;1;1|3|4;1|2|3;1;1;1|2|3|4;1|2|3;1|3;1|3;1|3;1|3;1|3;1|3;1|2|3|4;1|2;1|2;1|2;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2;1|3|4;1|2|3;1|3|4
